Filename,Species
Alteromonas_macleodii_CUKW.fa,Alteromonas macleodii CUKW
Alteromonas_macleodii_KCC02.fa,Alteromonas macleodii KCC02
Citrobacter_freundii_NCTC9750.fa,Citrobacter freundii NCTC9750
Enterococcus_faecium_A17sv1.fa,Enterococcus faecium A17sv1
Escherichia_coli_77_3009_5.fa,Escherichia coli 77-3009-5
Escherichia_coli_DH5alpha.fa,Escherichia coli DH5alpha
Escherichia_coli_KSC9.fa,Escherichia coli KSC9
Escherichia_coli_KSC64.fa,Escherichia coli KSC64
Escherichia_coli_KSC207.fa,Escherichia coli KSC207
Escherichia_coli_KSC1031.fa,Escherichia coli KSC1031 
Escherichia_coli_W3110.fa,Escherichia coli W3110
Pseudomonas_syringae_pv._Tomato_PT23.fa,Pseudomonas syringae pv. Tomato PT23
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_S7.fa,Salmonella enterica subsp. Enterica serovar Typhimurium S7
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_S15.fa,Salmonella enterica subsp. Enterica serovar Typhimurium S15
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_S23.fa,Salmonella enterica subsp. Enterica serovar Typhimurium S23
Xanthomonas_citri_str._Xc-03-1638-1-1.fa,Xanthomonas citri str. Xc-03-1638-1-1
Xanthomonas_euvesicatoria_LMG930.fa,Xanthomonas euvesicatoria LMG930
Xanthomonas_gardneri_ICMP7383.fa,Xanthomonas gardneri ICMP7383
Xanthomonas_gardneri_JS749-3.fa,Xanthomonas gardneri JS749-3
Xanthomonas_perforans_LH3.fa,Xanthomonas perforans LH3
Xanthomonas_vesicatoria_ATCC_35937_LMG911.fa,Xanthomonas vesicatoria ATCC 35937 LMG911
Xanthomonas_vesicatoria_LM159.fa,Xanthomonas vesicatoria LM159
